z;U
50;6.9
55;1.5
60;3.5
65;7.0
70;4.0
75;3.6
80;6.9
85;5.1
90;3.5
95;5.4
100;6.6
105;1.7
110;4.1
115;6.8
120;0.7
125;2.4
130;6.3
135;2.4
140;2.1
145;4.9
150;0
